source,lang_code,lang_name,script_code,script_name,status_or_qid
wikidata,oge,Old Georgian,,Georgian scripts,Q34834
wikidata,cat,Catalan,,Catalan alphabet,Q7026
wikidata,ulf,Afra,Latn,Latin script,Q4477735
wikidata,nxq,Naxi,Latn,Latin script,Q2478711
wikidata,ava,Avar,Cyrl,Cyrillic script,Q29561
wikidata,mad,Madurese,Java,Javanese script,Q36213
wikidata,hul,Hula,Latn,Latin script,Q6382179
wikidata,lat,Latin,,Latin alphabet,Q397
wikidata,oge,Old Georgian,Geok,Khutsuri,Q34834
wikidata,cor,Cornish,Latn,Latin script,Q25289
wikidata,nbf,Naxi,Latn,Latin script,Q2478711
wikidata,akl,Aklanon,Latn,Latin script,Q8773
wikidata,bew,Betawi,Arab,Arabic script,Q33014
wikidata,bea,Danezaa,Latn,Latin script,Q20826
wikidata,drs,Gedeo,Ethi,Geʽez script,Q56622
wikidata,zum,Kumzari,Arab,Arabic script,Q36158
wikidata,nap,Neapolitan,,Latin alphabet,Q33845
wikidata,ext,Extremaduran,Latn,Latin script,Q30007
wikidata,orm,Oromo,Ethi,Geʽez script,Q33864
wikidata,bew,Betawi,Latn,Latin script,Q33014
wikidata,nap,Neapolitan,Latn,Latin script,Q33845
wikidata,fab,Annobonese Creole,Latn,Latin script,Q34992
wikidata,lac,Lacandon,Latn,Latin script,Q35766
wikidata,mad,Madurese,Latn,Latin script,Q36213
wikidata,cim,Cimbrian,Latn,Latin script,Q37053
wikidata,cri,Forro Creole,Latn,Latin script,Q36536
wikidata,saf,Safaliba,Latn,Latin script,Q36432
wikidata,cat,Catalan,,Catalan Braille,Q7026
wikidata,rus,Russian,Cyrl,Cyrillic script,Q7737
wikidata,akk,Akkadian,Xsux,cuneiform,Q35518
wikidata,orm,Oromo,Latn,Latin script,Q33864
wikidata,ava,Avar,,Avar alphabet,Q29561
wikidata,sme,Northern Sami,Latn,Latin script,Q33947
wikidata,bh,Bihari,Deva,Devanagari,Q135305
wikidata,srd,Sardinian,Latn,Latin script,Q33976
wikidata,snd,Sindhi,,Sindhi Perso-Arabic script,Q33997
wikidata,wol,Wolof,Latn,Latin script,Q34257
wikidata,pus,Pashto,,Arabic alphabet,Q58680
wikidata,oji,Ojibwe,,Great Lakes Algonquian syllabary,Q33875
wikidata,oji,Ojibwe,Latn,Latin script,Q33875
wikidata,kom,Komi,Cyrl,Cyrillic script,Q36126
wikidata,lin,Lingala,Latn,Latin script,Q36217
wikidata,oji,Ojibwe,Cans,Canadian Aboriginal syllabics,Q33875
wikidata,sot,Sesotho,Latn,Latin script,Q34340
wikidata,wol,Wolof,Gara,Garay,Q34257
wikidata,nde,Northern Ndebele,Latn,Latin script,Q35613
wikidata,nbl,Southern Ndebele,Latn,Latin script,Q36785
wikidata,ibo,Igbo,,,Q33578
wikidata,ssw,Swazi,Latn,Latin script,Q34014
wikidata,twi,Twi,Latn,Latin script,Q36850
wikidata,sag,Sango,Latn,Latin script,Q33954
wikidata,vol,Volapük,Latn,Latin script,Q36986
wikidata,kau,Kanuri,,Arabic alphabet,Q36094
wikidata,kin,Kinyarwanda,Latn,Latin script,Q33573
wikidata,kua,Kwanyama,Latn,Latin script,Q1405077
wikidata,snd,Sindhi,,Devanagari Sindhi,Q33997
wikidata,grn,Guarani,,Guarani Braille,Q35876
wikidata,ton,Tongan,Latn,Latin script,Q34094
wikidata,snd,Sindhi,Khoj,Khojki,Q33997
wikidata,mah,Marshallese,Latn,Latin script,Q36280
wikidata,tsn,Tswana,Latn,Latin script,Q34137
wikidata,ibo,Igbo,,Igbo Braille,Q33578
wikidata,run,Kirundi,Latn,Latin script,Q33583
wikidata,sme,Northern Sami,,Northern Sami orthography,Q33947
wikidata,yor,Yoruba,,,Q34311
wikidata,kom,Komi,,Molodtsov alphabet,Q36126
wikidata,smo,Samoan,Latn,Latin script,Q34011
wikidata,wln,Walloon,Latn,Latin script,Q34219
wikidata,wol,Wolof,,Wolofal script,Q34257
wikidata,snd,Sindhi,Gujr,Gujarati,Q33997
wikidata,grn,Guarani,,Guarani alphabet,Q35876
wikidata,kan,Kannada,Knda,Kannada script,Q33673
